x_m,y_m,z_m,u_ms,v_ms,w_ms,speed_ms
1.000000000000000056e-01,1.300000000000000044e+00,5.208333333333333703e-01,-9.960335387294709172e-03,6.422065800911659628e-02,4.315784061487888679e-02,7.801346295794460428e-02
1.000000000000000056e-01,1.300000000000000044e+00,7.291666666666667407e-01,-1.270179813986968033e-02,9.395664679114108797e-02,5.371268568481714356e-02,1.089689852925923158e-01
1.000000000000000056e-01,1.300000000000000044e+00,9.375000000000001110e-01,-1.533618505030609654e-02,1.323532980005957815e-01,4.993859646690197718e-02,1.422900470188123156e-01
1.000000000000000056e-01,1.300000000000000044e+00,1.145833333333333703e+00,-1.659008673287424088e-02,1.667855594662067675e-01,2.398988423691710697e-02,1.693167693111363725e-01
1.000000000000000056e-01,1.300000000000000044e+00,1.354166666666666963e+00,-1.723628794056377561e-02,1.798213432839149695e-01,-1.970367742202003974e-02,1.817169227847330593e-01
1.000000000000000056e-01,1.300000000000000044e+00,1.562500000000000222e+00,-1.586491554842014290e-02,1.387080054866550172e-01,-5.063672309454546328e-02,1.485115620320454910e-01
1.000000000000000056e-01,1.300000000000000044e+00,1.770833333333333703e+00,-1.348838901923891075e-02,1.001999387255532170e-01,-5.333357517849339480e-02,1.143085062462936424e-01
1.000000000000000056e-01,1.300000000000000044e+00,1.979166666666667185e+00,-1.146297876874917757e-02,7.357014171974796124e-02,-4.173162096032334567e-02,8.535510425799204548e-02
1.000000000000000056e-01,1.300000000000000044e+00,2.187500000000000444e+00,-9.601935497011380646e-03,5.648189771182055008e-02,-2.473257397262969282e-02,6.240274152414240078e-02
1.000000000000000056e-01,1.300000000000000044e+00,2.395833333333333481e+00,-6.653598806081069232e-03,4.088784071763872097e-02,-7.823689929818085365e-03,4.215798880095224938e-02
1.000000000000000056e-01,1.500000000000000000e+00,1.041666666666666713e-01,-7.768389186447726726e-03,2.949371813427652950e-02,1.280769364602373471e-02,3.307966590621293917e-02
1.000000000000000056e-01,1.500000000000000000e+00,3.125000000000000555e-01,-9.400176675030008991e-03,4.078931444985203769e-02,3.974418652834046245e-02,5.772115606612714112e-02
1.000000000000000056e-01,1.500000000000000000e+00,5.208333333333333703e-01,-1.243070570635905828e-02,6.471070110982729551e-02,6.916082966813874577e-02,9.552600506076244780e-02
1.000000000000000056e-01,1.500000000000000000e+00,7.291666666666667407e-01,-1.656144666795397041e-02,1.088589889040701697e-01,9.637879117684422514e-02,1.463332920755276989e-01
1.000000000000000056e-01,1.500000000000000000e+00,9.375000000000001110e-01,-1.916208902679584006e-02,1.786562420947693797e-01,1.028156259325074956e-01,2.070176114034480153e-01
1.000000000000000056e-01,1.500000000000000000e+00,1.145833333333333703e+00,-1.477588669057644695e-02,2.551334049167767182e-01,5.711170881967542190e-02,2.618647139578452188e-01
1.000000000000000056e-01,1.500000000000000000e+00,1.354166666666666963e+00,-1.359006245115348607e-02,2.890311265360995252e-01,-4.020022641185271722e-02,2.921296631766744367e-01
1.000000000000000056e-01,1.500000000000000000e+00,1.562500000000000222e+00,-1.911423578940486812e-02,1.825551838121765580e-01,-1.001540916342619630e-01,2.090994768467742682e-01
1.000000000000000056e-01,1.500000000000000000e+00,1.770833333333333703e+00,-1.636991274953725206e-02,1.151812063289382460e-01,-9.119784358505717003e-02,1.478233101015582751e-01
1.000000000000000056e-01,1.500000000000000000e+00,1.979166666666667185e+00,-1.329434371177142318e-02,7.638237274010972744e-02,-6.444341626113463117e-02,1.008164685928923249e-01
1.000000000000000056e-01,1.500000000000000000e+00,2.187500000000000444e+00,-1.041537964618215011e-02,5.422490126031707935e-02,-3.538059130078428927e-02,6.557900800300638100e-02
1.000000000000000056e-01,1.500000000000000000e+00,2.395833333333333481e+00,-6.669514072371999537e-03,3.649378266891986633e-02,-1.063169068048772439e-02,3.859159802565182568e-02
1.000000000000000056e-01,1.699999999999999956e+00,1.041666666666666713e-01,-8.616532994983135477e-03,1.792431414316537908e-02,1.631138909967956574e-02,2.572133536031239592e-02
1.000000000000000056e-01,1.699999999999999956e+00,3.125000000000000555e-01,-1.072918179584047421e-02,2.796272583530909350e-02,5.282308904649861414e-02,6.072320902721774216e-02
1.000000000000000056e-01,1.699999999999999956e+00,5.208333333333333703e-01,-1.459001045794035799e-02,5.118336110315080401e-02,9.997311645369268140e-02,1.132573568137714287e-01
1.000000000000000056e-01,1.699999999999999956e+00,7.291666666666667407e-01,-1.863538159531907476e-02,1.018497748786769547e-01,1.589573430536663223e-01,1.897052740456134368e-01
1.000000000000000056e-01,1.699999999999999956e+00,9.375000000000001110e-01,-9.191300049611869638e-03,2.023926763800583117e-01,2.012944629492222359e-01,2.855989080211981945e-01
1.000000000000000056e-01,1.699999999999999956e+00,1.145833333333333703e+00,3.977418045858858997e-02,3.473637549799357682e-01,1.296945473080709788e-01,3.729131793143796725e-01
1.000000000000000056e-01,1.699999999999999956e+00,1.354166666666666963e+00,5.311753772694546849e-02,4.272871717046788920e-01,-8.029783733564778425e-02,4.379994778516743681e-01
1.000000000000000056e-01,1.699999999999999956e+00,1.562500000000000222e+00,-8.644621185660315149e-03,1.984749129318950644e-01,-1.932027100944962994e-01,2.771178589095709688e-01
1.000000000000000056e-01,1.699999999999999956e+00,1.770833333333333703e+00,-1.613515407506492180e-02,1.086725553474291173e-01,-1.491872518112618007e-01,1.852752103919004245e-01
1.000000000000000056e-01,1.699999999999999956e+00,1.979166666666667185e+00,-1.406986788913009746e-02,6.444802994471537927e-02,-9.436640113733441027e-02,1.151369940974003858e-01
